Run	Assay Type	BioSample	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	Bytes	AvgSpotLen	Bases	BioProject	create_date	version	Library Name	Collection_Date	geo_loc_name_country	geo_loc_name_country_continent	Isolation_source	BioSampleModel	geo_loc_name	Year	Month	Date	isolation_source_categ	collection	species_identified
SRR13453444	WGS	SAMN17372741	UNIVERSITY OF PITTSBURGH	public	fastq,sra,run.zq	gs,s3,ncbi	s3.us-east-1,ncbi.public,gs.US	SRX9866374	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2021-09-01T00:00:00Z	MRS 1306	SRP302174	175089514.0	256.0	418258278.0	PRJNA692838	2021-01-18T09:32:00Z	1.0	Day 12, Pop 5, Plank, No AB, Clone 1	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR13453446	WGS	SAMN17372739	UNIVERSITY OF PITTSBURGH	public	fastq,sra,run.zq	s3,ncbi,gs	s3.us-east-1,gs.US,ncbi.public	SRX9866372	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2021-09-01T00:00:00Z	MRS 1304	SRP302174	179834442.0	252.0	431197099.0	PRJNA692838	2021-01-18T09:32:00Z	1.0	Day 12,  Pop 4, Plank, No AB, Clone 1	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR13453449	WGS	SAMN17372736	UNIVERSITY OF PITTSBURGH	public	sra,run.zq,fastq	gs,s3,ncbi	gs.US,s3.us-east-1,ncbi.public	SRX9866369	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2021-09-01T00:00:00Z	MRS 1301	SRP302174	196779266.0	256.0	475064287.0	PRJNA692838	2021-01-18T09:32:00Z	1.0	Day 12, Pop 1, Plank, No AB, Clone 1	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR13453451	WGS	SAMN17372734	UNIVERSITY OF PITTSBURGH	public	sra,run.zq,fastq	gs,ncbi,s3	ncbi.public,gs.US,s3.us-east-1	SRX9866367	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2021-09-01T00:00:00Z	MRS 1034	SRP302174	512174333.0	251.0	1226820745.0	PRJNA692838	2021-01-18T09:34:00Z	1.0	Day 12, Pop 4, Bio, No AB	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR13453452	WGS	SAMN17372750	UNIVERSITY OF PITTSBURGH	public	run.zq,fastq,sra	ncbi,gs,s3	gs.US,ncbi.public,s3.us-east-1	SRX9866366	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2021-09-01T00:00:00Z	MRS 1221	SRP302174	113385978.0	275.0	250650920.0	PRJNA692838	2021-01-18T09:32:00Z	1.0	Day 12, Pop 1, Bio, No AB, Clone 3	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR13453453	WGS	SAMN17372749	UNIVERSITY OF PITTSBURGH	public	run.zq,sra,fastq	ncbi,gs,s3	s3.us-east-1,ncbi.public,gs.US	SRX9866365	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2021-09-01T00:00:00Z	MRS 1220	SRP302174	42721682.0	280.0	93513667.0	PRJNA692838	2021-01-18T09:31:00Z	1.0	Day 12, Pop 1, Bio, No AB, Clone 2	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR13453454	WGS	SAMN17372748	UNIVERSITY OF PITTSBURGH	public	run.zq,fastq,sra	ncbi,s3,gs	s3.us-east-1,gs.US,ncbi.public	SRX9866364	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2021-09-01T00:00:00Z	MRS 1219	SRP302174	136545878.0	279.0	301127388.0	PRJNA692838	2021-01-18T09:32:00Z	1.0	Day 12, Pop 1, Bio, No AB, Clone 1	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR13453455	WGS	SAMN17372747	UNIVERSITY OF PITTSBURGH	public	sra,fastq,run.zq	ncbi,s3,gs	gs.US,s3.us-east-1,ncbi.public	SRX9866363	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2021-09-01T00:00:00Z	MRS 1203	SRP302174	133824025.0	278.0	293514009.0	PRJNA692838	2021-01-18T09:32:00Z	1.0	Day 12, Pop 3, Plank, No AB, Clone 2	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR13453457	WGS	SAMN17372745	UNIVERSITY OF PITTSBURGH	public	run.zq,sra,fastq	gs,s3,ncbi	s3.us-east-1,gs.US,ncbi.public	SRX9866361	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2021-09-01T00:00:00Z	MRS 1310	SRP302174	154692879.0	248.0	360589847.0	PRJNA692838	2021-01-18T09:32:00Z	1.0	Day 12, Pop 3, Bio, No AB, Clone 1	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR13453459	WGS	SAMN17372743	UNIVERSITY OF PITTSBURGH	public	run.zq,fastq,sra	ncbi,gs,s3	s3.us-east-1,ncbi.public,gs.US	SRX9866359	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2021-09-01T00:00:00Z	MRS 1308	SRP302174	190107888.0	245.0	457519095.0	PRJNA692838	2021-01-18T09:32:00Z	1.0	Day 12, Pop 2, Bio, No AB, Clone 1	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR13453461	WGS	SAMN17372733	UNIVERSITY OF PITTSBURGH	public	fastq,run.zq,sra	gs,s3,ncbi	s3.us-east-1,gs.US,ncbi.public	SRX9866357	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2021-09-01T00:00:00Z	MRS 1025	SRP302174	350848310.0	272.0	850309372.0	PRJNA692838	2021-01-18T09:33:00Z	1.0	Day 12, Pop 5, Plank, No AB	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR9902496	WGS	SAMN12501693	BASEL UNIVERSITY	public	run.zq,sra,fastq	ncbi,s3,gs	gs.US,ncbi.public,s3.us-east-1	SRX6654386	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2019-08-06T00:00:00Z	UJPc949	SRP217388	164691331.0	291.0	346092900.0	PRJNA558900	2019-08-06T15:44:00Z	1.0	UJPc949	2017-01-23	Switzerland	Europe	sputum	Pathogen.cl	Switzerland: Basel\, Kantonsspital	2017.0		2017-01-23	human	SRA	paeruginosa
SRR9902497	WGS	SAMN12501692	BASEL UNIVERSITY	public	run.zq,sra,fastq	gs,s3,ncbi	s3.us-east-1,ncbi.public,gs.US	SRX6654385	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2019-08-06T00:00:00Z	UJPc950	SRP217388	267234672.0	292.0	570732667.0	PRJNA558900	2019-08-06T15:44:00Z	1.0	UJPc950	2017-01-24	Switzerland	Europe	Tracheal secretion	Pathogen.cl	Switzerland: Basel\, Kantonsspital	2017.0		2017-01-24	evironmental	SRA	paeruginosa
SRR9902498	WGS	SAMN12501695	BASEL UNIVERSITY	public	run.zq,sra,fastq	gs,ncbi,s3	ncbi.public,gs.US,s3.us-east-1	SRX6654384	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2019-08-06T00:00:00Z	UJPc945	SRP217388	229366050.0	290.0	494440731.0	PRJNA558900	2019-08-06T15:43:00Z	1.0	UJPc945	2017-01-12	Switzerland	Europe	blood	Pathogen.cl	Switzerland: Basel\, Kantonsspital	2017.0		2017-01-12	human	SRA	paeruginosa
SRR9902499	WGS	SAMN12501694	BASEL UNIVERSITY	public	fastq,run.zq,sra	gs,s3,ncbi	ncbi.public,gs.US,s3.us-east-1	SRX6654383	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2019-08-06T00:00:00Z	UJPc946	SRP217388	302531329.0	291.0	650626921.0	PRJNA558900	2019-08-06T15:44:00Z	1.0	UJPc946	2017-01-14	Switzerland	Europe	blood	Pathogen.cl	Switzerland: Basel\, Kantonsspital	2017.0		2017-01-14	human	SRA	paeruginosa
SRR9902518	WGS	SAMN12501700	BASEL UNIVERSITY	public	run.zq,sra,fastq	s3,ncbi,gs	s3.us-east-1,gs.US,ncbi.public	SRX6654364	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2019-08-06T00:00:00Z	UJPc937	SRP217388	220737889.0	287.0	474723830.0	PRJNA558900	2019-08-06T15:44:00Z	1.0	UJPc937	2017-01-02	Switzerland	Europe	blood	Pathogen.cl	Switzerland: Basel\, Kantonsspital	2017.0		2017-01-02	human	SRA	paeruginosa
SRR9902520	WGS	SAMN12501698	BASEL UNIVERSITY	public	sra,run.zq,fastq	gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public	SRX6654362	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2019-08-06T00:00:00Z	UJPc939	SRP217388	286932122.0	293.0	619671916.0	PRJNA558900	2019-08-06T15:45:00Z	1.0	UJPc939	2017-01-09	Switzerland	Europe	wound	Pathogen.cl	Switzerland: Basel\, Kantonsspital	2017.0		2017-01-09	human	SRA	paeruginosa
SRR9902522	WGS	SAMN12501696	BASEL UNIVERSITY	public	sra,run.zq,fastq	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US	SRX6654360	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2019-08-06T00:00:00Z	UJPc943	SRP217388	1215416932.0	293.0	2618839311.0	PRJNA558900	2019-08-06T15:48:00Z	1.0	UJPc943	2017-01-12	Switzerland	Europe	Tracheal secretion	Pathogen.cl	Switzerland: Basel\, Kantonsspital	2017.0		2017-01-12	evironmental	SRA	paeruginosa
SRR9902523	WGS	SAMN12501697	BASEL UNIVERSITY	public	run.zq,fastq,sra	s3,ncbi,gs	s3.us-east-1,ncbi.public,gs.US	SRX6654359	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2019-08-06T00:00:00Z	UJPc941	SRP217388	281217167.0	292.0	606425240.0	PRJNA558900	2019-08-06T15:45:00Z	1.0	UJPc941	2017-01-08	Switzerland	Europe	Biopsy	Pathogen.cl	Switzerland: Basel\, Kantonsspital	2017.0		2017-01-08	evironmental	SRA	paeruginosa
SRR9902524	WGS	SAMN12501699	BASEL UNIVERSITY	public	fastq,sra,run.zq	gs,s3,ncbi	s3.us-east-1,ncbi.public,gs.US	SRX6654358	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2019-08-06T00:00:00Z	UJPc938	SRP217388	208920030.0	289.0	449236471.0	PRJNA558900	2019-08-06T15:44:00Z	1.0	UJPc938	2017-01-04	Switzerland	Europe	Bronchial secretion	Pathogen.cl	Switzerland: Basel\, Kantonsspital	2017.0		2017-01-04	evironmental	SRA	paeruginosa
SRR14831698	WGS	SAMN19729487	ARIZONA STATE PUBLIC HEALTH LABORATORY	public	sra,run.zq	s3,ncbi,gs	s3.us-east-1,ncbi.public,gs.US	SRX11160014	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2021-06-16T00:00:00Z	2021LN-00010	SRP074197	80759703.0	482.0	306964248.0	PRJNA288601	2023-05-20T02:41:00Z	2.0	2021LN-00010	2021-01-27	USA	North America	tracheal aspirate	Microbe\, viral or environmental	USA	2021.0		2021-01-27	human	SRA	paeruginosa
SRR14831699	WGS	SAMN19729486	ARIZONA STATE PUBLIC HEALTH LABORATORY	public	sra,run.zq	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.US	SRX11160013	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2021-06-16T00:00:00Z	2021LN-00005	SRP074197	371649196.0	484.0	1413936148.0	PRJNA288601	2023-05-20T02:43:00Z	2.0	2021LN-00005	2021-01-06	USA	North America	blood	Microbe\, viral or environmental	USA	2021.0		2021-01-06	human	SRA	paeruginosa
